baseline,,sample_5_in_1000,,target5um,,target10um,,target20um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
705.9788208,-0.0001498539059,705.9788208,0.005500089377,705.9788208,0.009577810764,705.9788208,0.01259418949,705.9788208,0.02581829764,
704.9738159,0.000663394283,704.9738159,0.005337659735,704.9738159,0.009615179151,704.9738159,0.0127596762,704.9738159,0.02579404227,
703.9684448,-2.764533383E-5,703.9684448,0.004944982007,703.9684448,0.00842353981,703.9684448,0.01197643112,703.9684448,0.02588673495,
702.9627075,-0.0004147022264,702.9627075,0.00559017621,702.9627075,0.008722490631,702.9627075,0.01287338696,702.9627075,0.0266072005,
701.956665,0.0008751279092,701.956665,0.005710496567,701.956665,0.009320744313,701.956665,0.01336498931,701.956665,0.02691114321,
700.9503174,-0.000884295674,700.9503174,0.004875734914,700.9503174,0.008215376176,700.9503174,0.01208392065,700.9503174,0.02680972219,
699.9436035,-0.0002004146954,699.9436035,0.005051243119,699.9436035,0.008797689341,699.9436035,0.01228926145,699.9436035,0.02612042613,
698.9365845,0.0004327700881,698.9365845,0.005686969962,698.9365845,0.009091002867,698.9365845,0.0131934816,698.9365845,0.02699043974,
697.9292603,-0.0001509924914,697.9292603,0.005073425826,697.9292603,0.008544938639,697.9292603,0.0124965366,697.9292603,0.02655009739,
697.0655518,0.0001695602987,697.0655518,0.005515714176,697.0655518,0.008842096664,697.0655518,0.01265974808,697.0655518,0.02694160491,
696.0575562,3.160791675E-5,696.0575562,0.005324242637,696.0575562,0.008908094838,696.0575562,0.01326457504,696.0575562,0.02697936632,
695.0492554,0.000888901297,695.0492554,0.00647581229,695.0492554,0.009192915633,695.0492554,0.01392177679,695.0492554,0.02762360126,
694.0406494,0.0006311700563,694.0406494,0.006683406886,694.0406494,0.009679071605,694.0406494,0.01443522703,694.0406494,0.02746798843,
693.0316772,-0.0003160561901,693.0316772,0.00548407156,693.0316772,0.009266160429,693.0316772,0.01322350278,693.0316772,0.02757061087,
692.0223999,0.0003904582118,692.0223999,0.00583431311,692.0223999,0.00929651875,692.0223999,0.01318702381,692.0223999,0.02847985737,
691.0128174,0.0002915997757,691.0128174,0.005475787912,691.0128174,0.00870777946,691.0128174,0.01314153057,691.0128174,0.02784638666,
690.0028687,-0.0005513316719,690.0028687,0.004896023776,690.0028687,0.007712305058,690.0028687,0.01308582351,690.0028687,0.02806025743,
688.9926147,-0.0001009435437,688.9926147,0.006128046196,688.9926147,0.009426097386,688.9926147,0.01368542109,688.9926147,0.02830805071,
687.9819946,0.0002115398675,687.9819946,0.006129096728,687.9819946,0.009867944755,687.9819946,0.01423421968,687.9819946,0.02914262563,
686.9711304,0.0004638394166,686.9711304,0.006608468015,686.9711304,0.009065653197,686.9711304,0.01361607481,686.9711304,0.02811523899,
685.9598389,-0.0001375362481,685.9598389,0.005714457016,685.9598389,0.009355127811,685.9598389,0.01378328726,685.9598389,0.02868624218,
684.9483032,-0.0006306418218,684.9483032,0.006387669127,684.9483032,0.009201667272,684.9483032,0.01402651425,684.9483032,0.02848676778,
683.9364624,-0.001251231995,683.9364624,0.004994678777,683.9364624,0.008203742094,683.9364624,0.01239661593,683.9364624,0.02857108042,
683.0688477,-0.000554899394,683.0688477,0.00680550281,683.0688477,0.009521342814,683.0688477,0.01391677838,683.0688477,0.02982850559,
682.0563965,-0.0007120049559,682.0563965,0.005557060242,682.0563965,0.009052623063,682.0563965,0.01358840428,682.0563965,0.02933412232,
681.0435791,-0.0006101693725,681.0435791,0.006261698902,681.0435791,0.009659140371,681.0435791,0.01424457133,681.0435791,0.02991901338,
680.0304565,-0.000616321573,680.0304565,0.005282945,680.0304565,0.008816603571,680.0304565,0.01337131672,680.0304565,0.02952273563,
679.0170288,-0.000459750212,679.0170288,0.006509025116,679.0170288,0.00880714599,679.0170288,0.01387545746,679.0170288,0.02993410081,
678.0032349,-7.242290303E-5,678.0032349,0.006204267964,678.0032349,0.01015355531,678.0032349,0.01512588467,678.0032349,0.03124822304,
676.9891357,-0.0003013116657,676.9891357,0.006080109626,676.9891357,0.009639872238,676.9891357,0.01470645238,676.9891357,0.03165465593,
675.9747314,-0.0001728838542,675.9747314,0.007037195843,675.9747314,0.01074139401,675.9747314,0.01518177334,675.9747314,0.03084848076,
674.960022,0.0007710764185,674.960022,0.00697761029,674.960022,0.01015999448,674.960022,0.01491676085,674.960022,0.03232594579,
673.9450073,-0.0007186725852,673.9450073,0.006249750033,673.9450073,0.01029762439,673.9450073,0.01395796891,673.9450073,0.03185832128,
672.9296265,-0.0006169936387,672.9296265,0.006289668847,672.9296265,0.01010050904,672.9296265,0.01497945562,672.9296265,0.03192351013,
672.059082,-0.0008493159548,672.059082,0.006416487973,672.059082,0.01021487638,672.059082,0.01498663612,672.059082,0.03237466514,
671.0431519,-0.0005263051135,671.0431519,0.006674600765,671.0431519,0.009507345036,671.0431519,0.01501268148,671.0431519,0.031665124,
670.0268555,-0.0009414352244,670.0268555,0.005916072056,670.0268555,0.009652152658,670.0268555,0.01566212252,670.0268555,0.03175400943,
669.0103149,0.0006372621283,669.0103149,0.007432428654,669.0103149,0.0106173642,669.0103149,0.01600863971,669.0103149,0.03219648823,
667.9934082,0.0008458187804,667.9934082,0.007856356911,667.9934082,0.01108777616,667.9934082,0.01677953079,667.9934082,0.03463763744,
666.9761963,-0.0004847806122,666.9761963,0.008037028834,666.9761963,0.01067994535,666.9761963,0.01659709401,666.9761963,0.03373774886,
665.9586792,-0.0001636720117,665.9586792,0.008116540499,665.9586792,0.01061346475,665.9586792,0.01566692628,665.9586792,0.03417256102,
664.9407959,0.0001639926777,664.9407959,0.008033996448,664.9407959,0.01090771519,664.9407959,0.01602395065,664.9407959,0.03381637111,
664.0681152,-2.195074558E-5,664.0681152,0.007060584612,664.0681152,0.01060229726,664.0681152,0.0164132826,664.0681152,0.03411820531,
663.0497437,-0.0004876765888,663.0497437,0.006939705927,663.0497437,0.01196206175,663.0497437,0.01605056785,663.0497437,0.03416346014,
662.0310059,4.884956797E-5,662.0310059,0.007770568132,662.0310059,0.01162215974,662.0310059,0.01654693857,662.0310059,0.03485364839,
661.0119629,-0.000222355302,661.0119629,0.007727799006,661.0119629,0.01135907136,661.0119629,0.01668975502,661.0119629,0.03463603929,
659.9925537,0.0004115229531,659.9925537,0.007139286026,659.9925537,0.01210830174,659.9925537,0.0167542398,659.9925537,0.03506892174,
658.9729004,-0.0002191988315,658.9729004,0.008271886036,658.9729004,0.01167629659,658.9729004,0.01689281687,658.9729004,0.03529494256,
657.9529419,-0.0001211294366,657.9529419,0.007496870123,657.9529419,0.01089701802,657.9529419,0.01738425158,657.9529419,0.03501097485,
656.9326172,-0.0001409521064,656.9326172,0.008070413955,656.9326172,0.01188926585,656.9326172,0.01790551096,656.9326172,0.03535424545,
656.0578613,-0.00087044877,656.0578613,0.008277505636,656.0578613,0.01168507151,656.0578613,0.01766608842,656.0578613,0.03583920002,
655.0369873,0.0005024524289,655.0369873,0.008064612746,655.0369873,0.01135763619,655.0369873,0.01760446094,655.0369873,0.03569798544,
654.0158081,-0.0002543845621,654.0158081,0.007914665155,654.0158081,0.01196054462,654.0158081,0.01776067726,654.0158081,0.03730079532,
652.9943237,-0.0001834409923,652.9943237,0.00768192485,652.9943237,0.01151310932,652.9943237,0.01745705865,652.9943237,0.03586393967,
651.9725342,0.0001546185231,651.9725342,0.007098604925,651.9725342,0.0118277343,651.9725342,0.01739917882,651.9725342,0.03769141808,
650.9504395,-0.0002476580848,650.9504395,0.009202064015,650.9504395,0.01236915495,650.9504395,0.01778626814,650.9504395,0.03726762533,
