ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc,auc_cv,std_405,type_shift,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
Lauric Acid,21.32093627739613,0.009495013021548837,-1.1474676638206005,15,3.8,0.08,[  5.3155 -15.1975   6.184   -8.1375 -15.146   -7.2165   3.809    2.6135],-2.4313325668448194,0.027464262493023806,-0.015080544355418179,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,29.952769694294286,0.009693283375654541,-2.8967908447817305,16,3.8,0.08499999999999999,[2.3875 5.2145 5.1415 3.6155 2.337  7.111  8.1705 8.321 ],0.4269979190826332,0.007100050301632678,-0.0027905745993171372,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,-5.842081342755583,0.00487225405245,-0.500095706172272,17,3.8,0.079,[  3.358  -11.4295 -12.631  -12.312  -10.7525  -9.8685  -2.091   -3.936 ],-0.7358850995538843,0.02044111752606216,-0.02368750000476743,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,0.7999355528917163,0.008250418051493338,-0.9225535712493516,18,3.8,0.085,[-2.0595 -5.9075  9.15   -9.6435 -8.931   1.2695  8.564   4.508 ],-18.307544436217068,0.02861786405127298,-0.006537449596592741,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,5.21708502483524,0.008289173444634193,-1.186460344205197,19,3.8,0.08199999999999999,[  0.963  -10.6285  10.127   -7.3525  -7.7205 -13.4215  -2.9635   4.553 ],-2.274918927040011,0.02923763474897184,-0.012294808469166259,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
,46.11381776012473,0.012469623547677442,-2.1458051193110155,1,3.8,0.093,[ 0.79   15.8365 -1.0085  3.053  20.337  14.9805  6.301  -4.62  ],1.2166519790846606,0.010819955109492305,0.004364717739612086,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,9.838876836579106,0.056630117707625,-1.625060900459217,2,3.8,0.201,[  0.41     3.773    7.9855  73.133   11.2025  12.5985   1.3675 -13.4485],2.0021926986360796,0.055694158452339375,0.0201286794318856,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,5.189633063411784,0.05623393931832066,-1.2247495975903178,3,3.8,0.056999999999999995,[  2.937    1.221    6.2285  -2.447    8.3265   5.1205 -10.348   -8.5835],20.943460707871576,0.017367868526185277,0.00939843749862388,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,7.610759801283716,0.06104579433621789,-1.5148797657670556,4,3.8,0.054000000000000006,[-0.3915  3.2715  1.8415  2.547   9.1105  7.8805 -0.7195 -9.246 ],2.9767168160456827,0.020860078071350954,0.010056854841424472,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,6.05006087660214,0.061266851686639444,-1.255978100416534,5,3.8,0.069,[-0.0455  0.0655  7.761   8.486  15.168   9.1525 -4.089  -9.4915],2.250401763364653,0.01839205962209935,0.0062407258093646655,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,5.935469965683363,0.06952401744800432,-1.3848031431431789,6,3.8,0.04200000000000001,"[-4.99800e+00  5.94000e-01  8.84500e-01  8.00000e-03  1.11940e+01
  1.79750e+00 -1.90000e+00 -1.24375e+01]",-10.252168810583273,0.019991069434696515,0.021832963708230246,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,5.92976312733601,0.07468750899643643,-1.4631861131837054,7,3.8,0.041999999999999996,[-7.4895 -3.318  -5.007   3.475   7.948   8.9465  0.0625 -6.551 ],-24.907638224390297,0.02031888635868469,0.023463407257867754,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,50.83850664709119,0.03410692321966251,-2.2719666161863,8,3.8,0.068,[-15.8225 -10.594   -8.7775  -5.5255  -2.421   -3.649   -0.4375   1.757 ],-0.9518973175630294,0.01603344718304297,0.005576512096143342,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,56.62030274860314,0.03035361317777376,-2.3407057678956695,9,3.8,0.08,[-3.7575  3.081   4.596   0.1375  3.265   2.8045  1.9215  0.729 ],1.5191772268252632,0.005578978401105346,0.002257056451501007,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,45.083260188237894,0.029372357446537357,-2.0539573125910393,10,3.8,0.07799999999999999,[-7.445  -1.5295 -6.8735 -3.8425 -3.964   0.091   4.14   10.4515],-5.0025602915218945,0.01655294535724685,0.012101008062370588,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,55.70252578877883,0.02897188657780965,-2.1438409574909523,11,3.8,0.062,[-2.002  -1.418  -3.3405 -3.1555  5.4995 -1.762   0.3185  0.8685],-4.323843303214431,0.011949297648218253,0.000338911289827776,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,48.309427854907256,0.02597401069898996,-1.8411227332989069,12,3.8,0.083,[-0.3775 -3.9605  5.8135 -0.843   0.3465 10.728   6.47    8.2565],1.4680488498805038,0.021403854793003996,-0.004905745968684677,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,-5.462014522277003,0.008466700049611095,-0.5795258733519133,13,3.8,0.081,[-11.7585  -5.273   -9.082   -7.0545  -2.1825   2.034    7.238    4.923 ],-2.4209726326132355,0.020283702113484396,0.005544203629703008,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,109.13702502857973,0.012327076862386238,-2.3678513939248047,14,3.8,0.084,[-3.231  10.256  -0.8205 -4.498   5.341   3.982   2.903   3.528 ],2.072449003388275,0.0031052950170405934,0.00020856854924282173,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,-4.326089596583605,0.006414001451519985,-0.22194182981851052,15,3.8,0.083,[ -4.047   -4.137    1.499  -13.5835  -3.0085  -2.519    4.3      6.6745],-3.1428197743294444,0.024017850504513157,-0.012423941533764448,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,-7.143079994969383,0.0012355261301446254,-0.26798906450668136,16,3.8,0.083,[-0.8205  6.879   2.7645  2.833   9.643   2.9995  1.6365  3.9535],0.8045979752153583,0.004342481186734479,-0.0022381048401279007,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,-5.852730308395647,0.004544029477945538,-0.13119922557502584,17,3.8,0.08099999999999999,[  1.7065  -8.76   -10.412  -10.376   -5.343   -3.7365  -2.1185  -0.5475],-0.8666380190522683,0.016245878598234426,-0.018214516131555742,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,12.570953766793352,0.008764443710373614,-1.4797316898701731,18,3.8,0.08499999999999999,[ 1.822  -4.217   2.5665 -5.4075  0.3155  6.0715  4.2755 10.369 ],2.45849806425686,0.024686245447327837,-0.004220766133706975,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,-1.6084089555964909,0.004526636826177054,-1.0697505347964258,19,3.8,0.082,[  6.979   -7.1535   1.3045  -4.9215 -10.49    -1.786    3.568    5.5335],-6.749394937713131,0.023329931724840394,-0.007981552420344071,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
,31.485835031339054,0.006974776576826971,-2.2234866042505703,1,3.8,0.088,[ 5.479  15.965  -0.488   4.351   9.0735  4.3685  5.509  -1.2185],0.942681108777673,0.009783367810436535,0.004125655242949868,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,9.397502464096519,0.05417978596101516,-1.4378061772323432,2,3.8,0.172,[  4.38    -1.0935   0.7065  56.739    9.8365   7.9385  -3.4685 -17.389 ],2.8179738684136226,0.04697415702885394,0.01658956653423074,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,5.026708720709761,0.05328703879805634,-1.1165593489244263,3,3.8,0.055,[  6.14    -0.099    5.0365   9.982    8.2505  -1.625   -5.3645 -15.469 ],9.190454157273955,0.019845384493989673,0.009133820563541228,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,7.868612417509619,0.05515032459951035,-1.3008631571287421,4,3.8,0.05600000000000001,[ 6.686  -4.7375 -7.023  12.901   6.9955  6.359  -1.202  -6.939 ],4.341428601349266,0.02122288185628225,0.006442187499038889,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,6.315843977339005,0.05560389248475191,-1.1382479020449,5,3.8,0.06599999999999999,[  2.2855   2.7745   0.862    5.1645   6.1955   3.6665  -5.495  -11.1375],10.238224160601636,0.019992409273807604,0.005826512095175476,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
