ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_cv,type_shift,experiment_number,protein_days_thawed,plate_type,centrifuge_rpm,centrifuge_minutes,file,hours_before_reading
Arachadionic Acid,43.94650978338046,0.6583956216592498,-2.4068521385459483,5,27.56,0.648,0.08345698368586914,0.06744753024204445,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,62.017972746293594,0.19394443710684423,-2.3481231240579468,6,27.56,0.6639999999999999,0.06446126373854005,0.014118497982113246,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,86.80121518352631,0.2070566525866509,-2.1986990486936984,7,27.56,0.6449999999999999,0.06470835725093442,0.018608417334900693,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,56.31875732467162,0.19693978357139316,-2.274458743580823,8,27.56,0.643,0.07642507836488983,0.014046572577124975,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,76.19326340314772,0.18131804276810437,-2.156737600918393,9,27.56,0.649,0.06639616770407065,0.016767993951826255,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,10.671675938624505,0.02172305034230761,-0.26656524766613066,10,27.56,0.697,0.06731429793142032,-0.005683870968311669,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,34.15403400722342,0.01768989481812764,-1.049502815227365,11,27.56,0.6669999999999999,0.06812077478623296,-0.01126980847440681,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,-2.334784581919336,0.016105038039161964,-0.20045642628512805,12,27.56,0.6669999999999999,0.0784259727524968,-0.010150000003832194,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,25.930795621557056,0.04089308719177078,-0.7705951920020968,13,27.56,0.582,0.07124550048916585,-0.011835030243871288,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,232.67979730480192,0.045452616411541115,-2.42809415945018,14,27.56,0.574,0.029004087873765624,-0.004442792338228922,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,-6.968335810115066,0.003217960012041296,-0.5038195451274674,15,27.56,0.594,0.06440031681206519,-0.00877691532377646,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,817.4370912758618,0.03345102965491502,-1.54523686896338,16,27.56,0.574,0.05639564864096456,-0.006508366934892774,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,11.653302840640729,0.007829212265287136,-1.1660556647768598,17,27.56,0.576,0.09632996903982702,-0.006199193551194085,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,8.043703315038133,0.0020254431425435976,-0.5206148391929317,18,27.56,0.008000000000000004,1.31707062896014,-0.0026810483865653788,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,38.42800793243894,0.0014572710142992155,-1.118040229070418,19,27.56,0.0010000000000000009,-4.681667564116436,-0.000664667337828716,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
