kpi,,kpiTriton,,kpi_5uMBM3,,kpitriton__5uMBM3,,kpitriton__10uMBM4,,kpi__10uMBM5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
719.0411987,0.003036739537,719.0411987,0.004130165093,719.0411987,0.00803666003,719.0411987,0.00629016757,719.0411987,0.009256375954,719.0411987,0.01031392626,
718.0410767,-0.001376451342,718.0410767,0.0023020464,718.0410767,0.004774594214,718.0410767,0.001936283428,718.0410767,0.007131917868,718.0410767,0.008833801374,
717.0405273,0.0006492910325,717.0405273,0.003912894987,717.0405273,0.005961576477,717.0405273,0.004026141018,717.0405273,0.01039860118,717.0405273,0.0104438886,
716.0396729,-0.0004098920326,716.0396729,0.003622743534,716.0396729,0.005957351532,716.0396729,0.004427742679,716.0396729,0.008804267272,716.0396729,0.01033372805,
715.0385132,-0.001376090106,715.0385132,0.003418928478,715.0385132,0.005646424834,715.0385132,0.004107142333,715.0385132,0.009039117023,715.0385132,0.01022057515,
714.0369873,0.001166070229,714.0369873,0.003469390562,714.0369873,0.007535797544,714.0369873,0.004623790272,714.0369873,0.01087424438,714.0369873,0.0097480556,
713.0351563,-0.0006086701178,713.0351563,0.003259727033,713.0351563,0.004274758976,713.0351563,0.002893625991,713.0351563,0.009004097432,713.0351563,0.008430112153,
712.032959,0.0006276185159,712.032959,0.00479380507,712.032959,0.005207068287,712.032959,0.005648470018,712.032959,0.008890127763,712.032959,0.01069456339,
711.0303955,-0.0002590412623,711.0303955,0.002228614176,711.0303955,0.003795787459,711.0303955,0.004716548137,711.0303955,0.007985637523,711.0303955,0.009672030807,
710.0275269,0.0009946415666,710.0275269,0.002746938495,710.0275269,0.00668080477,710.0275269,0.005710312631,710.0275269,0.009021012112,710.0275269,0.01029401924,
709.024353,-0.001871812972,709.024353,0.002324999776,709.024353,0.002530280733,709.024353,0.002881821478,709.024353,0.007971110754,709.024353,0.008533375338,
708.020813,-0.0007633272326,708.020813,0.00314475107,708.020813,0.004461034667,708.020813,0.004169758875,708.020813,0.007969581522,708.020813,0.009075433947,
707.0169678,0.000497917179,707.0169678,0.002024905989,707.0169678,0.005415524822,707.0169678,0.004758367781,707.0169678,0.01068538334,707.0169678,0.009627829306,
706.0127563,0.0007581884274,706.0127563,0.003685264383,706.0127563,0.004406063817,706.0127563,0.002998057054,706.0127563,0.009033856913,706.0127563,0.01001520362,
