blank,,bm3Rep2_workingconc,,bm3Rep3_workingconc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
698.0391235,0.001636639936,698.0391235,0.009197119623,698.0391235,0.008960731328,
697.0296021,0.0006329328753,697.0296021,0.008873641491,697.0296021,0.007451546844,
696.0197754,0.0003110795224,696.0197754,0.007050271146,696.0197754,0.006504400168,
695.0095825,0.0005283172941,695.0095825,0.008871871047,695.0095825,0.008773677982,
693.9990845,0.001123998314,693.9990845,0.009852135554,693.9990845,0.008625070564,
692.9882202,-0.0004849874531,692.9882202,0.006443285383,692.9882202,0.005843810737,
691.9770508,-4.607457959E-5,691.9770508,0.008964457549,691.9770508,0.00921332743,
690.9655762,-0.0001755231642,690.9655762,0.006868693978,690.9655762,0.007189339958,
689.9537354,0.001499987091,689.9537354,0.01146388333,689.9537354,0.01020618435,
688.9415894,0.0009678408969,688.9415894,0.008970772848,688.9415894,0.009480172768,
687.9291382,0.0005380883231,687.9291382,0.008770218119,687.9291382,0.007769645657,
687.0610352,-0.001218966441,687.0610352,0.005543111823,687.0610352,0.00665811915,
686.0479736,0.0003618553455,686.0479736,0.008156288415,686.0479736,0.006778025534,
685.0345459,-0.001016128925,685.0345459,0.007834664546,685.0345459,0.008170110174,
684.020813,-0.001560498495,684.020813,0.008145052008,684.020813,0.008023950271,
683.0067749,0.001551915309,683.0067749,0.01013267506,683.0067749,0.008973256685,
681.9924316,0.002130767098,681.9924316,0.01033059973,681.9924316,0.009504329413,
680.9777222,0.0005440235836,680.9777222,0.009740008041,680.9777222,0.009051671252,
679.9627075,0.0005079207476,679.9627075,0.008619023487,679.9627075,0.008670701645,
678.9473877,0.0002995262621,678.9473877,0.009953195229,678.9473877,0.008834434673,
677.9317017,-0.0005174110411,677.9317017,0.008446977474,677.9317017,0.008225506172,
677.0609131,0.0009974956047,677.0609131,0.009367215447,677.0609131,0.008671520278,
676.0446777,6.272623432E-5,676.0446777,0.009307309054,676.0446777,0.008473742753,
675.0280762,-0.0001567371364,675.0280762,0.009569396265,675.0280762,0.007450414356,
674.0111694,-0.0006252652965,674.0111694,0.009335529059,674.0111694,0.007752964273,
672.9939575,0.0002498714603,672.9939575,0.00942377001,672.9939575,0.009801482782,
671.9764404,-0.0001493881136,671.9764404,0.00999104511,671.9764404,0.008401159197,
670.9586182,-0.0006487353239,670.9586182,0.009993137792,670.9586182,0.009270285256,
669.9404297,-0.0004143918923,669.9404297,0.009457525797,669.9404297,0.007934700698,
669.0675049,-0.0007364522899,669.0675049,0.01007605437,669.0675049,0.01028540451,
668.0487671,0.0008049707976,668.0487671,0.01123499777,668.0487671,0.009826133028,
667.0296631,0.0003348087193,667.0296631,0.01107829623,667.0296631,0.01019036304,
666.0103149,0.0006920429878,666.0103149,0.01137482841,666.0103149,0.01043614559,
664.9906006,-0.001188712078,664.9906006,0.0116608208,664.9906006,0.01037534978,
663.9705811,0.0007224826259,663.9705811,0.01298045926,663.9705811,0.0104659237,
662.9502563,0.0002356262266,662.9502563,0.0127587961,662.9502563,0.01078446116,
661.9296265,0.0001418523898,661.9296265,0.01222908404,661.9296265,0.01199670788,
661.0545654,0.0007471677964,661.0545654,0.009842947125,661.0545654,0.01159384474,
660.0333252,-7.164644921E-5,660.0333252,0.01175004058,660.0333252,0.01077095419,
659.0118408,-0.0002387065615,659.0118408,0.01269647479,659.0118408,0.01128255017,
657.9899902,0.0001636301458,657.9899902,0.01203912776,657.9899902,0.01098114345,
656.9678345,0.002217712346,656.9678345,0.01528225746,656.9678345,0.01312421449,
655.9453735,0.0006785350852,655.9453735,0.01421105582,655.9453735,0.01155120227,
655.0687256,0.0006537241861,655.0687256,0.013529622,655.0687256,0.01097254176,
654.0456543,0.0004951442243,654.0456543,0.01265756227,654.0456543,0.01271702629,
653.0223389,0.0003542385821,653.0223389,0.01343787275,653.0223389,0.012631285,
651.9986572,-0.000320350111,651.9986572,0.01353191864,651.9986572,0.01252048835,
650.9747314,0.0005791963194,650.9747314,0.0142311966,650.9747314,0.01292298548,
649.9504395,-0.0001209741677,649.9504395,0.01431792323,649.9504395,0.0126625197,
649.0722656,-0.0006673967,649.0722656,0.01520316582,649.0722656,0.01397684216,
648.0474243,0.0006150458357,648.0474243,0.01290226541,648.0474243,0.01444636006,
647.0222778,-0.001163877081,647.0222778,0.01248287037,647.0222778,0.01236398797,
645.9968262,-0.001065711025,645.9968262,0.01399183925,645.9968262,0.01292223949,
644.9710693,0.0006268667639,644.9710693,0.01325037703,644.9710693,0.01140421908,
643.9450073,0.001195037621,643.9450073,0.01423435379,643.9450073,0.01514330693,
643.0652466,0.001376257278,643.0652466,0.01409325097,643.0652466,0.01215033326,
642.0386353,-3.044083132E-5,642.0386353,0.01366493106,642.0386353,0.01264039893,
641.0117188,-0.001300838892,641.0117188,0.01390803792,641.0117188,0.01225839928,
639.9844971,-0.001134806545,639.9844971,0.01389125269,639.9844971,0.01074370183,
638.9569702,-0.000214438187,638.9569702,0.01455764845,638.9569702,0.01138181705,
637.9290771,-0.0006298663793,637.9290771,0.01477466058,637.9290771,0.01281259488,
637.0478516,-4.685107706E-5,637.0478516,0.01375429705,637.0478516,0.01311431639,
636.0194702,-0.002328299684,636.0194702,0.01392164268,636.0194702,0.0131512424,
634.9907837,-0.0001664666343,634.9907837,0.0131573258,634.9907837,0.01326921862,
633.961792,0.001420872868,633.961792,0.01510969549,633.961792,0.0148747284,
632.9324951,0.0004778848379,632.9324951,0.01337120961,632.9324951,0.01407052297,
632.0499878,-0.0008730322006,632.0499878,0.01478245389,632.0499878,0.01368897408,
631.0201416,-2.350382238E-5,631.0201416,0.01400558092,631.0201416,0.01271683909,
629.9899902,0.0003117012384,629.9899902,0.01310567185,629.9899902,0.01308737043,
628.9595337,0.001157089719,628.9595337,0.01578983106,628.9595337,0.01518115681,
627.928772,0.000124296319,627.928772,0.01342738047,627.928772,0.01250700746,
627.0450439,0.0009660767391,627.0450439,0.01340692956,627.0450439,0.01339205913,
626.0137329,0.0002832330647,626.0137329,0.01351958141,626.0137329,0.01370462868,
624.9821167,8.538031398E-5,624.9821167,0.01459587552,624.9821167,0.01296096295,
623.9502563,0.0004141917452,623.9502563,0.01480163075,623.9502563,0.01295960229,
623.0655518,0.0009196660831,623.0655518,0.01453947276,623.0655518,0.01328005455,
622.0330811,0.0005158511922,622.0330811,0.0146779092,622.0330811,0.01319641713,
621.0003662,-9.312773182E-5,621.0003662,0.01322056726,621.0003662,0.01131206751,
619.9673462,9.107638471E-5,619.9673462,0.01359652355,619.9673462,0.013154177,
618.934021,-0.0002131445217,618.934021,0.0137845166,618.934021,0.01147658844,
618.0480957,0.0002928949252,618.0480957,0.01447049901,618.0480957,0.0106619047,
