baseline,,bm3heme5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
650.9504395,-0.0006825940218,650.9504395,0.01074606366,
649.9280396,0.0001424220682,649.9280396,0.01102803089,
649.0514526,0.0004527744313,649.0514526,0.01148062851,
648.0284424,-3.235625627E-5,648.0284424,0.01197576523,
647.005188,-0.0001497503981,647.005188,0.01091029029,
645.9815674,-0.0003388186742,645.9815674,0.01208799332,
644.9577026,0.0003333579807,644.9577026,0.0122773312,
643.9334717,-0.0002041922853,643.9334717,0.01096054167,
643.0553589,-0.0004188400344,643.0553589,0.01090906933,
642.0306396,3.489568553E-5,642.0306396,0.0106112631,
641.0055542,0.0004944963148,641.0055542,0.01097641792,
639.9801636,0.0003755088255,639.9801636,0.01171427034,
638.9545288,-0.0003729084274,638.9545288,0.01092080213,
637.9285278,-0.0005797174526,637.9285278,0.0106793344,
637.0488892,-5.063000208E-5,637.0488892,0.01029014867,
636.0223999,-0.0002200785093,636.0223999,0.01175796613,
634.9955444,-0.0009380256524,634.9955444,0.01120187342,
633.9684448,0.0002807982091,633.9684448,0.01231232285,
632.940979,-0.0009166377713,632.940979,0.01146499999,
632.0601196,0.0002236087748,632.0601196,0.01201259531,
631.0321045,-0.0007774876431,631.0321045,0.01109045837,
630.0038452,-0.0002678889141,630.0038452,0.01227863599,
628.9752808,-0.0002199750161,628.9752808,0.01168594975,
627.9464111,-0.0004480102798,627.9464111,0.01089455001,
627.06427,0.001044589211,627.06427,0.01201767754,
626.0348511,-0.0002400518861,626.0348511,0.01145933848,
625.005127,4.654546501E-5,625.005127,0.01184451953,
623.9750977,-0.0003492683172,623.9750977,0.01131204143,
622.9448242,-2.117420627E-5,622.9448242,0.01203199569,
622.0614624,0.0001306143531,622.0614624,0.01216489542,
621.0306396,8.548387996E-5,621.0306396,0.01216936763,
619.9994507,-0.0002784437384,619.9994507,0.01159341913,
618.9680176,-0.0006564894575,618.9680176,0.01199274324,
617.9362793,-0.0003949954989,617.9362793,0.01174363121,
617.0517578,-0.0003366459277,617.0517578,0.01167089865,
616.0194702,0.0002733382862,616.0194702,0.01225634944,
614.9868774,-0.0006658459315,614.9868774,0.01208900474,
613.9540405,0.0014237297,613.9540405,0.0124966437,
613.0685425,-8.634700498E-5,613.0685425,0.01227592025,
612.0351563,-0.0004694729287,612.0351563,0.01319604367,
611.0014648,-0.0001223198633,611.0014648,0.01296939049,
609.9674683,9.643593512E-5,609.9674683,0.01276937965,
608.9332275,-0.0002548502234,608.9332275,0.0130478628,
608.0465088,4.558758155E-5,608.0465088,0.01365120057,
607.0117188,0.0001155962309,607.0117188,0.01437552832,
605.9766235,0.0003169080883,605.9766235,0.01433723979,
604.9412842,-0.0002142312005,604.9412842,0.01508501079,
604.0535889,0.0005988185876,604.0535889,0.01524061803,
603.0177002,0.001083539333,603.0177002,0.01629907265,
601.9815674,-0.0003768397146,601.9815674,0.01548208762,
600.9450684,-0.0004979675286,600.9450684,0.01554338727,
600.0564575,0.000418726122,600.0564575,0.01742065512,
599.0194702,0.0004846485681,599.0194702,0.01776075736,
597.9822388,-0.0005385082914,597.9822388,0.01744692773,
596.9446411,-0.0003637008485,596.9446411,0.01803226024,
596.0551147,-0.0005868006847,596.0551147,0.01830595918,
595.0170288,0.0006868315977,595.0170288,0.01990305074,
593.9786987,0.0003510261304,593.9786987,0.02109129727,
592.9400635,0.0004674673255,592.9400635,0.02214862406,
592.0495605,-8.852098836E-5,592.0495605,0.02274390683,
591.010437,-0.0003185394162,591.010437,0.02399992384,
589.9710083,-0.002191867679,589.9710083,0.0231563244,
588.9312744,0.0005933750654,588.9312744,0.02673255093,
588.039917,0.0004095278564,588.039917,0.02809546702,
586.9996948,0.0006677497877,586.9996948,0.02956033684,
585.9591675,-0.0002368437854,585.9591675,0.03096649982,
585.0670776,0.00022459295,585.0670776,0.03393416479,
584.026062,0.0004155131755,584.026062,0.03598091379,
582.9848022,-0.0006053613033,582.9848022,0.03793686256,
581.9432373,-0.0004861768975,581.9432373,0.04023260251,
581.0502319,0.000553691294,581.0502319,0.04365135729,
580.0081787,-0.000539128785,580.0081787,0.04636985064,
578.9658203,9.752339247E-5,578.9658203,0.0488993451,
578.0721436,-0.0002881187829,578.0721436,0.050511498,
577.0292969,0.0002752291621,577.0292969,0.05303927138,
575.9862061,-5.151002188E-5,575.9862061,0.05519096553,
574.9428101,-2.164012949E-5,574.9428101,0.05705812946,
574.0482178,-0.000726011931,574.0482178,0.05779312924,
573.0043335,-0.0005743403453,573.0043335,0.05948622525,
571.960144,8.183325554E-5,571.960144,0.06055213138,
571.0649414,-0.0009560547187,571.0649414,0.05956944451,
570.0202637,0.0002570460492,570.0202637,0.06180962548,
568.9753418,0.000567817362,568.9753418,0.06169005111,
567.9301147,-0.0009448447381,567.9301147,0.06062912196,
567.0339966,0.0002073702199,567.0339966,0.06080554053,
565.9882813,0.0005534579977,565.9882813,0.06030252576,
564.9423218,0.0003339797258,564.9423218,0.05916167423,
564.0455933,7.740594447E-5,564.0455933,0.05823353678,
562.9990845,-0.0002656640718,562.9990845,0.0573030971,
561.9523926,5.785899339E-5,561.9523926,0.05670376122,
