ligand,km,vmax,rsq,protein_concentration,a420_max,auc,auc_cv,std_405,dd_soret,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,controls_ok,experiment_number,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,well_volume,dispense_bulk
,,,,,0.285,"[276.9115 263.9125 294.198  293.207  313.158  305.189  282.299  304.2275
 277.6695 279.6995 282.09   245.6225 225.464  222.7925 260.573  275.7705]",0.09279226792056133,0.07046627443914807,,0.0,0,150,0,150,150,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.30299999999999994,"[237.7575 233.968  242.4895 243.192  263.0315 330.8225 241.629  239.646
 247.776  239.9405 247.3565 236.294  280.3165 266.209  233.2815 238.2485]",0.09569995100016318,0.0625470156495629,,0.0,0,150,150,150,0,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.224,"[234.999  236.699  250.318  244.5945 298.4045 277.6265 246.9095 241.614
 245.9135 243.1375 244.076  256.474  268.674  276.8575 237.2805 235.201 ]",0.07083262005807177,0.04626513265948775,,0.0,4,0,0,150,150,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.21699999999999997,"[229.0405 234.319  250.2425 239.9025 275.4005 289.548  240.95   239.2315
 250.671  242.1785 270.8285 254.08   282.1935 273.065  238.7915 240.8325]",0.0720163581977489,0.048573612520928816,,0.0,4,0,150,150,0,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.247,"[227.0115 229.8925 241.949  236.8235 282.2815 310.3005 233.897  235.867
 236.428  233.1995 269.003  258.733  272.9415 267.4755 229.5965 238.917 ]",0.09253937030054818,0.057103670343215826,,0.0,4,150,0,0,0,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.14900000000000002,"[234.3345 232.1525 240.1505 267.986  275.396  263.281  237.274  237.9195
 235.9065 239.504  258.358  263.444  239.469  257.84   234.8495 243.979 ]",0.055485959097932164,0.03139420063217622,,0.0,4,150,150,0,150,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.17099999999999999,"[232.377  229.244  237.331  265.1925 249.6725 263.737  233.8945 235.0735
 233.0235 232.359  256.884  236.115  276.7575 250.2085 237.1275 240.2315]",0.05702054170302695,0.03086199118657123,,0.01,0,0,0,150,0,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.113,"[229.671  229.4245 236.5675 242.7515 252.334  246.3405 231.462  232.3795
 239.521  233.989  254.001  240.5755 245.2115 236.4095 231.164  231.897 ]",0.032062125300109406,0.01564608577248636,,0.01,0,0,150,150,150,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.131,"[229.28   228.9865 230.2535 236.091  235.8615 253.9915 237.8885 234.244
 233.6825 234.447  262.433  237.7365 241.102  238.8395 232.924  233.4955]",0.03610425124112545,0.01840108692441835,,0.01,0,150,0,0,150,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.13,"[225.578  223.844  238.179  237.407  252.3265 236.7795 231.265  234.514
 230.6775 235.707  262.494  234.042  254.6425 239.017  230.9745 233.614 ]",0.042582945703494246,0.019413054027294797,,0.01,0,150,150,0,0,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.13,"[229.9305 227.89   236.3615 233.664  246.5955 243.734  238.084  240.2125
 242.61   233.9285 260.4895 237.7135 256.0185 232.6775 230.9125 231.294 ]",0.037440885846553626,0.014939321715972696,,0.01,4,0,0,0,150,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.129,"[233.8145 227.9475 232.0715 235.096  239.584  244.7515 240.4235 240.4825
 236.8845 233.8305 254.727  237.919  255.439  229.1995 228.6335 231.7855]",0.03370721080598458,0.01423083506568278,,0.01,4,0,150,0,0,0,150,0.0,False,17,0,2,3700,30,Manual
