baseline#],,bm3,,dmso_1,,dmso_2,,arachadonicAcid_0.5,,arachadoinicAcid_1.0.,,arachadoinicAcid_1.5,,arachadoinicAcid_2.0,,arachadoinicAcid_2.5,,arachadoinicAcid_3.0,,arachadoinicAcid_4.0,,arachadoinicAcid_5.0,,arachadoinicAcid_6.0,,arachadoinicAcid_7.0,,arachadoinicAcid_8.0,,arachadoinicAcid_9.0,,arachadoinicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.0038452,-0.0007728364435,770.0038452,0.001539211953,770.0038452,0.002682937775,770.0038452,0.002875541337,770.0038452,0.003016824368,770.0038452,0.003452299628,770.0038452,0.004516012035,770.0038452,0.002005089074,770.0038452,0.003952364437,770.0038452,0.01481108554,770.0038452,0.006112478208,770.0038452,0.009671527892,770.0038452,0.004508217331,770.0038452,0.01090914849,770.0038452,0.008315553889,770.0038452,0.01052442472,770.0038452,0.01027353015,
768.9934082,-0.003245437052,768.9934082,0.001242931467,768.9934082,0.0006312218611,768.9934082,0.002833720529,768.9934082,0.001951962593,768.9934082,0.0007551544695,768.9934082,0.002744515892,768.9934082,0.002929953858,768.9934082,0.001249577268,768.9934082,0.008702577092,768.9934082,0.002227625344,768.9934082,0.006629704963,768.9934082,0.004032777157,768.9934082,0.006503822282,768.9934082,0.006060500629,768.9934082,0.006085438654,768.9934082,0.0121689951,
768.0172729,-0.0004607845622,768.0172729,0.001797482837,768.0172729,0.003161960281,768.0172729,0.003086974844,768.0172729,0.004364513792,768.0172729,0.00428767316,768.0172729,0.004957104567,768.0172729,0.002854070161,768.0172729,0.004932807293,768.0172729,0.01200160384,768.0172729,0.004426095169,768.0172729,0.008215402253,768.0172729,0.01003832929,768.0172729,0.008746709675,768.0172729,0.008241572417,768.0172729,0.00659879623,768.0172729,0.01157055609,
767.0059814,0.001007899875,767.0059814,0.003137685126,767.0059814,0.003522337647,767.0059814,0.005170104094,767.0059814,0.002785729012,767.0059814,0.004973312374,767.0059814,0.007889648899,767.0059814,0.006854124833,767.0059814,0.00764843775,767.0059814,0.01476957183,767.0059814,0.006928737741,767.0059814,0.009708399884,767.0059814,0.009211952798,767.0059814,0.01100020576,767.0059814,0.008153228089,767.0059814,0.01089608949,767.0059814,0.01396884955,
765.9943237,-0.002075900091,765.9943237,0.002126371022,765.9943237,0.001055643312,765.9943237,0.002057441976,765.9943237,-0.0008176406263,765.9943237,0.00052987237,765.9943237,0.002713725669,765.9943237,0.003471686738,765.9943237,0.002616785001,765.9943237,0.01140950806,765.9943237,0.004301764537,765.9943237,0.007729669567,765.9943237,0.005480375141,765.9943237,0.008804769255,765.9943237,0.005087961443,765.9943237,0.007316237781,765.9943237,0.007207341958,
765.0171509,0.0003552748822,765.0171509,0.00170537224,765.0171509,0.003739726031,765.0171509,0.003572837915,765.0171509,0.004210114479,765.0171509,0.004652440082,765.0171509,0.004362657201,765.0171509,0.003726984607,765.0171509,0.00415073242,765.0171509,0.01094400324,765.0171509,0.007119681686,765.0171509,0.009331826121,765.0171509,0.006305453368,765.0171509,0.01152642723,765.0171509,0.007328374311,765.0171509,0.008715253323,765.0171509,0.01173530705,
764.0046997,-0.000596830796,764.0046997,0.002782264026,764.0046997,0.00267363945,764.0046997,0.001979006222,764.0046997,0.002662622137,764.0046997,0.00194538408,764.0046997,0.00436338922,764.0046997,0.006390007213,764.0046997,0.003078293288,764.0046997,0.01050196216,764.0046997,0.004742403515,764.0046997,0.008639540523,764.0046997,0.005702418275,764.0046997,0.00916742906,764.0046997,0.008465744555,764.0046997,0.01006765664,764.0046997,0.01333074179,
762.9918823,0.001163708279,762.9918823,0.001655660337,762.9918823,0.002967118518,762.9918823,0.003839189652,762.9918823,0.001655426458,762.9918823,0.003876249772,762.9918823,0.004358133767,762.9918823,0.00383190345,762.9918823,0.004696817603,762.9918823,0.009921253659,762.9918823,0.006119435187,762.9918823,0.009382318705,762.9918823,0.00633791741,762.9918823,0.01148267463,762.9918823,0.006524712779,762.9918823,0.01034276839,762.9918823,0.01229642425,
762.0136108,-0.001470316318,762.0136108,0.002115653595,762.0136108,0.0007566325366,762.0136108,6.523313004E-006,762.0136108,0.0006901243469,762.0136108,0.001083461451,762.0136108,0.003384099109,762.0136108,0.003515865654,762.0136108,0.004434175789,762.0136108,0.00897994265,762.0136108,0.005048755091,762.0136108,0.006906039547,762.0136108,0.005628854502,762.0136108,0.008873693645,762.0136108,0.003837283235,762.0136108,0.006374140736,762.0136108,0.0105896974,
761,-0.001895988942,761,0.002317634644,761,0.003647098085,761,0.002922656713,761,0.003999466076,761,0.005458381958,761,0.00469181966,761,0.006467798725,761,0.005417962559,761,0.01119767688,761,0.004743031692,761,0.008928387426,761,0.006425472908,761,0.008820037358,761,0.00779689569,761,0.01048947126,761,0.0112751117,
759.9860229,0.0008740904159,759.9860229,0.004273111932,759.9860229,0.004477223847,759.9860229,0.006686456501,759.9860229,0.005594870076,759.9860229,0.005966484081,759.9860229,0.006242580712,759.9860229,0.004809195176,759.9860229,0.006527340505,759.9860229,0.01123691071,759.9860229,0.005774158053,759.9860229,0.01024755463,759.9860229,0.008279036731,759.9860229,0.01217423938,759.9860229,0.008585279807,759.9860229,0.01145769097,759.9860229,0.01392070763,
759.0066528,0.0001305107726,759.0066528,0.001471908414,759.0066528,0.003297076561,759.0066528,0.00608672481,759.0066528,0.006166877691,759.0066528,0.002781638876,759.0066528,0.004743973725,759.0066528,0.002604987938,759.0066528,0.005313210189,759.0066528,0.01089202799,759.0066528,0.005038908217,759.0066528,0.009256402031,759.0066528,0.0078721717,759.0066528,0.01199966203,759.0066528,0.008839665912,759.0066528,0.01015111711,759.0066528,0.01532655489,
757.9919434,0.002416903386,757.9919434,0.005572713446,757.9919434,0.004922674969,757.9919434,0.009007850662,757.9919434,0.005921110511,757.9919434,0.007966654375,757.9919434,0.006366759073,757.9919434,0.005974514876,757.9919434,0.007387876045,757.9919434,0.0136817079,757.9919434,0.006503480487,757.9919434,0.009615972638,757.9919434,0.01035011094,757.9919434,0.01243843511,757.9919434,0.008278271183,757.9919434,0.01415574644,757.9919434,0.01493441593,
757.0117798,0.0008842582465,757.0117798,0.002760849427,757.0117798,0.004470266867,757.0117798,0.00389152905,757.0117798,0.001036519301,757.0117798,0.005482052919,757.0117798,0.005287032574,757.0117798,0.007649175357,757.0117798,0.004934116267,757.0117798,0.01069915295,757.0117798,0.006908643525,757.0117798,0.009239293635,757.0117798,0.008471815847,757.0117798,0.01147967111,757.0117798,0.007338167634,757.0117798,0.008337903768,757.0117798,0.01135646738,
755.9962769,-0.0009392138454,755.9962769,0.003087887308,755.9962769,0.00547012547,755.9962769,0.003634620458,755.9962769,0.004811655264,755.9962769,0.004459151533,755.9962769,0.005196353421,755.9962769,0.004720499739,755.9962769,0.004390452523,755.9962769,0.00957775861,755.9962769,0.005397990346,755.9962769,0.008216457441,755.9962769,0.009102871642,755.9962769,0.0124025289,755.9962769,0.008087608963,755.9962769,0.007263352629,755.9962769,0.01398895215,
755.0155029,-0.0006040171138,755.0155029,0.001176244929,755.0155029,0.004301737994,755.0155029,0.004698099568,755.0155029,0.004153555259,755.0155029,0.004839793779,755.0155029,0.004723666236,755.0155029,0.006762013305,755.0155029,0.005763009191,755.0155029,0.009473982267,755.0155029,0.007105840836,755.0155029,0.009175703861,755.0155029,0.008991808631,755.0155029,0.01199252997,755.0155029,0.00849654898,755.0155029,0.01133643277,755.0155029,0.01094795857,
753.9992676,-0.001448748284,753.9992676,0.003072375432,753.9992676,0.004606836941,753.9992676,0.002918460872,753.9992676,0.003567122156,753.9992676,0.003476331476,753.9992676,0.004498566035,753.9992676,0.005004995968,753.9992676,0.003340689931,753.9992676,0.01005758904,753.9992676,0.00643579755,753.9992676,0.009028518572,753.9992676,0.006838293746,753.9992676,0.009020140395,753.9992676,0.008533005603,753.9992676,0.00850684382,753.9992676,0.01141872909,
752.982605,-0.001815208234,752.982605,0.001765850116,752.982605,0.003804117674,752.982605,0.001896242728,752.982605,0.001744381734,752.982605,0.002489586594,752.982605,0.003374028951,752.982605,0.003584322054,752.982605,0.004291516263,752.982605,0.01001922973,752.982605,0.003550314344,752.982605,0.008754660375,752.982605,0.007893760689,752.982605,0.01234792825,752.982605,0.008360545151,752.982605,0.01050869841,752.982605,0.01187069621,
