blank,,0,,DMSO_1,,DMSO_2,,ArachadionicAcid_1,,ArachadionicAcid_2,,ArachadionicAcid_3,,ArachadionicAcid_4,,ArachadionicAcid_5,,ArachadionicAcid_6,,ArachadionicAcid_7,,ArachadionicAcid_8,,ArachadionicAcid_9,,ArachadionicAcid_10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.0076294,-0.001248599263,767.0076294,0.002357323887,767.0076294,0.002086208668,767.0076294,0.003556577954,767.0076294,0.005132907536,767.0076294,0.004698047414,767.0076294,0.005770249292,767.0076294,0.008222946897,767.0076294,0.004294391721,767.0076294,0.009682379663,767.0076294,0.006883447524,767.0076294,0.006491419859,767.0076294,0.006126392167,767.0076294,0.006978241727,
765.9959717,0.0005976262037,765.9959717,0.002331688302,765.9959717,0.002537857741,765.9959717,0.002961645368,765.9959717,0.006577875931,765.9959717,0.00439678086,765.9959717,0.004983079154,765.9959717,0.005254777614,765.9959717,0.005254253745,765.9959717,0.0114571061,765.9959717,0.005924731959,765.9959717,0.006040813867,765.9959717,0.007431928534,765.9959717,0.009851738811,
764.9838867,0.0004388593952,764.9838867,0.00226293481,764.9838867,0.003417258617,764.9838867,0.003580876626,764.9838867,0.00496595446,764.9838867,0.003409457859,764.9838867,0.005356135312,764.9838867,0.007723608986,764.9838867,0.005821483675,764.9838867,0.01013233047,764.9838867,0.005512672942,764.9838867,0.004997454584,764.9838867,0.007051718421,764.9838867,0.008866349235,
764.0063477,-0.0008160903817,764.0063477,0.001434092177,764.0063477,0.00300665875,764.0063477,0.001059198286,764.0063477,0.006130278111,764.0063477,0.00421999488,764.0063477,0.005124053918,764.0063477,0.004588340875,764.0063477,0.005618207622,764.0063477,0.009937383235,764.0063477,0.002590300748,764.0063477,0.006842764094,764.0063477,0.00518123759,764.0063477,0.007433850784,
762.9934692,-0.0007780044107,762.9934692,0.001378282788,762.9934692,0.002281358233,762.9934692,0.001842245576,762.9934692,0.004960901104,762.9934692,0.004570263904,762.9934692,0.004575077444,762.9934692,0.0005244297208,762.9934692,0.006213116925,762.9934692,0.009314846247,762.9934692,0.00400348939,762.9934692,0.004392492119,762.9934692,0.004396205302,762.9934692,0.003694114508,
762.0152588,-0.001008277875,762.0152588,0.001148991752,762.0152588,0.001847808831,762.0152588,0.001880253432,762.0152588,0.00464950921,762.0152588,0.001881475328,762.0152588,0.003374028951,762.0152588,0.005314441863,762.0152588,0.006513991393,762.0152588,0.008430850692,762.0152588,0.003386055585,762.0152588,0.008758833632,762.0152588,0.004769883119,762.0152588,0.01012766734,
761.001709,0.0009659210336,761.001709,0.003283383092,761.001709,0.00391506264,761.001709,0.003554777242,761.001709,0.006431226153,761.001709,0.003634385532,761.001709,0.005177098792,761.001709,0.005902584642,761.001709,0.0045217406,761.001709,0.009402527474,761.001709,0.007851744071,761.001709,0.006944756024,761.001709,0.006307370495,761.001709,0.008182112128,
759.9877319,0.001025024569,759.9877319,0.0031581535,759.9877319,0.002930631395,759.9877319,0.003088408615,759.9877319,0.00595212914,759.9877319,0.005276263226,759.9877319,0.005830902141,759.9877319,0.005638845731,759.9877319,0.005790710915,759.9877319,0.01026380248,759.9877319,0.008520676754,759.9877319,0.006563605741,759.9877319,0.005627333652,759.9877319,0.005036996678,
759.0083618,-4.079436985E-005,759.0083618,0.001770242699,759.0083618,0.002624493791,759.0083618,0.003537891665,759.0083618,0.005474136211,759.0083618,0.004859662149,759.0083618,0.005262192804,759.0083618,0.003288990818,759.0083618,0.005703939125,759.0083618,0.009748956189,759.0083618,0.003341133473,759.0083618,0.007045325357,759.0083618,0.006096411496,759.0083618,0.007969159633,
757.9935913,0.001098253648,757.9935913,0.00326483883,757.9935913,0.004604430404,757.9935913,0.004452168476,757.9935913,0.006219681818,757.9935913,0.005875295494,757.9935913,0.005678944755,757.9935913,0.009665386751,757.9935913,0.007534454111,757.9935913,0.009818958119,757.9935913,0.006461177487,757.9935913,0.007256087847,757.9935913,0.007016701624,757.9935913,0.0102727348,
