baseline,,bm3,,dmsio_1,,dmsio_2,,arachadionicAcid_0.5,,arachadionicAcid_1.0,,arachadionicAcid_1.5,,arachadionicAcid_2.0,,arachadionicAcid_3.0,,arachadionicAcid_4.0,,arachadionicAcid_5.0,,arachadionicAcid_6.0,,arachadionicAcid_7.0,,arachadionicAcid_8.0,,arachadionicAcid_9.0,,arachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
768.9934082,0.002469253726,768.9934082,0.004395891447,768.9934082,0.009768414311,768.9934082,0.004857358523,768.9934082,0.00760328304,768.9934082,0.005036734976,768.9934082,0.006937917322,768.9934082,0.005774761084,768.9934082,0.006587442476,768.9934082,0.00892738346,768.9934082,0.009121111594,768.9934082,0.01091814786,768.9934082,0.01303753909,768.9934082,0.01083729882,768.9934082,0.0103087835,768.9934082,0.01116537862,
768.0172729,-0.000175626672,768.0172729,0.003565947525,768.0172729,0.01042089984,768.0172729,0.004999183118,768.0172729,0.006675704848,768.0172729,0.00436425209,768.0172729,0.004329268355,768.0172729,0.004401487764,768.0172729,0.004531418439,768.0172729,0.008526748978,768.0172729,0.009218960069,768.0172729,0.007391035557,768.0172729,0.011638592,768.0172729,0.009002512321,768.0172729,0.009400332347,768.0172729,0.01038391329,
767.0059814,0.0002886985894,767.0059814,0.002959247446,767.0059814,0.0110746054,767.0059814,0.006172470283,767.0059814,0.003876145231,767.0059814,0.00719523523,767.0059814,0.005039301235,767.0059814,0.005707742646,767.0059814,0.006502797361,767.0059814,0.01225302089,767.0059814,0.009531608783,767.0059814,0.008455872536,767.0059814,0.01381652988,767.0059814,0.009734448977,767.0059814,0.01087899506,767.0059814,0.009803971276,
765.9943237,2.221072828E-005,765.9943237,0.001982880756,765.9943237,0.009798172861,765.9943237,0.002161411801,765.9943237,0.004306809977,765.9943237,0.00522925891,765.9943237,0.004690956324,765.9943237,0.005758680869,765.9943237,0.00730044255,765.9943237,0.01004497893,765.9943237,0.01044842228,765.9943237,0.009559605271,765.9943237,0.0106005203,765.9943237,0.009029152803,765.9943237,0.009199684486,765.9943237,0.009649744257,
765.0171509,-0.001389404759,765.0171509,0.003229630645,765.0171509,0.008268588223,765.0171509,0.004095748998,765.0171509,0.003639162518,765.0171509,0.005027542822,765.0171509,0.004535577726,765.0171509,0.004184761085,765.0171509,0.005757500418,765.0171509,0.008706063032,765.0171509,0.01136016101,765.0171509,0.008322467096,765.0171509,0.009671474807,765.0171509,0.007901089266,765.0171509,0.009527401999,765.0171509,0.01017509867,
764.0046997,0.001458610059,764.0046997,0.00330078043,764.0046997,0.01218866836,764.0046997,0.005027568899,764.0046997,0.003263534978,764.0046997,0.005231013987,764.0046997,0.004330000374,764.0046997,0.005435445812,764.0046997,0.00752665801,764.0046997,0.01086540613,764.0046997,0.01096733846,764.0046997,0.01044749469,764.0046997,0.01148291398,764.0046997,0.009976874106,764.0046997,0.01486353111,764.0046997,0.01106831152,
762.9918823,0.001646565739,762.9918823,0.00158218143,762.9918823,0.007979916409,762.9918823,0.00355237606,762.9918823,0.00408231793,762.9918823,0.001449883217,762.9918823,0.005026626401,762.9918823,0.006374272052,762.9918823,0.006620216649,762.9918823,0.01258065272,762.9918823,0.01010231115,762.9918823,0.01035992056,762.9918823,0.01293175947,762.9918823,0.009695906192,762.9918823,0.009213962592,762.9918823,0.01045417693,
762.0136108,0.001738845836,762.0136108,0.003043543315,762.0136108,0.01101725083,762.0136108,0.003215861041,762.0136108,0.004223732743,762.0136108,0.006764038,762.0136108,0.003862355137,762.0136108,0.005664992146,762.0136108,0.008342495188,762.0136108,0.009801561944,762.0136108,0.0135236932,762.0136108,0.009944375604,762.0136108,0.01167233475,762.0136108,0.009279990569,762.0136108,0.0112292869,762.0136108,0.01323585864,
761,0.00258241035,761,0.002067949623,761,0.007823357359,761,0.004931969568,761,0.006524738856,761,0.003938179929,761,0.0009454001556,761,0.004887855612,761,0.006163201761,761,0.009272030555,761,0.01036805939,761,0.009288690984,761,0.009990144521,761,0.008119599894,761,0.01155766193,761,0.01216369774,
759.9860229,0.002037129365,759.9860229,0.005260699429,759.9860229,0.006771347485,759.9860229,0.004057442304,759.9860229,0.004468723666,759.9860229,0.005181394983,759.9860229,0.004959173035,759.9860229,0.006564157549,759.9860229,0.007758129388,759.9860229,0.01207652129,759.9860229,0.01197997015,759.9860229,0.009007639252,759.9860229,0.0109526841,759.9860229,0.009543621913,759.9860229,0.01213255152,759.9860229,0.0100304354,
