baseline,,bm3,,dmos_1,,arachadonicacid_0.5,,arachadonicacid_0.5,,arachadonicacid_1.0,,arachadonicacid_1.5,,arachadonicacid_2.0,,arachadonicacid_2.5,,arachadonicacid_3.0,,arachadonicacid_3.5,,arachadonicacid_4.0,,arachadonicacid_5.0,,arachadonicacid_6.0,,arachadonicacid_7.0,,arachadonicacid_8.0,,arachadonicacid_9.0,,arachadonicacid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
762.0152588,0.001206692541,762.0152588,0.00495689502,762.0152588,0.005218359642,762.0152588,0.006039816421,762.0136108,0.005318503361,762.0136108,0.008278245106,762.0136108,0.007864000276,762.0136108,0.006966062356,762.0136108,0.008548687212,762.0136108,0.008744888008,762.0136108,0.008268984035,762.0136108,0.007933198474,762.0136108,0.01091055572,762.0136108,0.01138803549,762.0136108,0.01100705564,762.0136108,0.01401737053,762.0136108,0.01157475635,762.0136108,0.01692573354
761.001709,-0.003618907649,761.001709,0.001243866049,761.001709,0.001722030691,761.001709,0.003804274369,761,0.002450588159,761,0.004388778936,761,0.005147340707,761,0.004511042498,761,0.003548565786,761,0.00440138299,761,0.003449925222,761,0.005721276626,761,0.005805926397,761,0.007651836611,761,0.008367616683,761,0.0106629394,761,0.008133789524,761,0.01117884461
759.9877319,0.0009125583456,759.9877319,0.004373482428,759.9877319,0.006130488124,759.9877319,0.006610202603,759.9860229,0.004916130099,759.9860229,0.006743872073,759.9860229,0.008866586722,759.9860229,0.006107017398,759.9860229,0.007931643166,759.9860229,0.009378721006,759.9860229,0.00889496319,759.9860229,0.01005825121,759.9860229,0.008521758951,759.9860229,0.008098158054,759.9860229,0.01233637054,759.9860229,0.01402202249,759.9860229,0.01239288691,759.9860229,0.01124243625
759.0083618,0.001180190244,759.0083618,0.003756332211,759.0083618,0.005425301846,759.0083618,0.006225038785,759.0066528,0.005486928858,759.0066528,0.007632129826,759.0066528,0.008708545938,759.0066528,0.005859132856,759.0066528,0.007043351885,759.0066528,0.008735167794,759.0066528,0.008604950272,759.0066528,0.007573806215,759.0066528,0.008693729527,759.0066528,0.01308022067,759.0066528,0.01043293718,759.0066528,0.01207484491,759.0066528,0.01527810097,759.0066528,0.0150928637
757.9935913,-0.0009377673268,757.9935913,0.002914760262,757.9935913,0.003689441364,757.9935913,0.005329667125,757.9919434,0.003737454535,757.9919434,0.005131100304,757.9919434,0.006489186548,757.9919434,0.004064131062,757.9919434,0.007004705258,757.9919434,0.005473926663,757.9919434,0.005382159725,757.9919434,0.007415655069,757.9919434,0.01053853426,757.9919434,0.008934279904,757.9919434,0.008330013603,757.9919434,0.0103257224,757.9919434,0.01129532978,757.9919434,0.009574608877
757.0135498,0.001375556225,757.0135498,0.005771849304,757.0135498,0.003599486547,757.0135498,0.008470257744,757.0117798,0.007514041848,757.0117798,0.007742529269,757.0117798,0.01006484777,757.0117798,0.007535507437,757.0117798,0.01035053562,757.0117798,0.007895949297,757.0117798,0.009475780651,757.0117798,0.008649390191,757.0117798,0.01181227993,757.0117798,0.01289847866,757.0117798,0.0135561144,757.0117798,0.01349135581,757.0117798,0.01358565316,757.0117798,0.01565321349
755.9980469,-0.00245310599,755.9980469,0.001236726996,755.9980469,0.002032630146,755.9980469,0.004011065699,755.9962769,0.002819129732,755.9962769,0.005000780337,755.9962769,0.005181106739,755.9962769,0.003176797414,755.9962769,0.007877549157,755.9962769,0.004017571453,755.9962769,0.006274488755,755.9962769,0.00653454056,755.9962769,0.007525815163,755.9962769,0.008726583794,755.9962769,0.009935237467,755.9962769,0.008191819303,755.9962769,0.008258483373,755.9962769,0.009664804675
755.0172729,0.0003277364594,755.0172729,0.004022065084,755.0172729,0.007391694002,755.0172729,0.006725731771,755.0155029,0.005465223454,755.0155029,0.007952180691,755.0155029,0.008534958586,755.0155029,0.006264613941,755.0155029,0.006624737289,755.0155029,0.008088716306,755.0155029,0.007674916182,755.0155029,0.008299932815,755.0155029,0.01008906309,755.0155029,0.01025333256,755.0155029,0.01169655938,755.0155029,0.01192779094,755.0155029,0.01338413078,755.0155029,0.01248060539
754.0010376,0.001192857162,754.0010376,0.004877253436,754.0010376,0.005533069838,754.0010376,0.007359387819,753.9992676,0.004255989101,753.9992676,0.008559591137,753.9992676,0.007904700935,753.9992676,0.006335422397,753.9992676,0.008975925855,753.9992676,0.009232181124,753.9992676,0.009387079626,753.9992676,0.009287342429,753.9992676,0.01304623578,753.9992676,0.01150787342,753.9992676,0.01328397822,753.9992676,0.01435960736,753.9992676,0.01443097275,753.9992676,0.01297515165
752.984375,-0.001428211224,752.984375,0.003614338581,752.984375,0.001717664651,752.984375,0.004660446197,752.982605,0.00490387762,752.982605,0.006712271366,752.982605,0.004458785523,752.982605,0.004465219099,752.982605,0.007435272913,752.982605,0.006397310179,752.982605,0.006037007552,752.982605,0.006179296877,752.982605,0.007699077483,752.982605,0.009198758751,752.982605,0.01004497893,752.982605,0.01315425709,752.982605,0.01340191066,752.982605,0.01218321081
