,SrcID,DestID,Volume
265,G13,C9,992.5
266,I5,C10,7.5
267,G14,C10,992.5
268,I5,D9,32.5
269,G14,D9,967.5
270,I5,D10,32.5
271,G14,D10,967.5
272,I5,E9,107.5
273,G14,E9,892.5
274,I5,E10,107.5
275,G14,E10,892.5
276,I5,F9,260.0
277,G14,F9,740.0
278,I5,F10,260.0
279,G14,F10,740.0
280,I5,G9,540.0
281,G14,G9,460.0
282,I5,G10,540.0
283,G14,G10,460.0
284,I5,H9,1000.0
286,I5,H10,1000.0
289,G14,I9,1000.0
291,G14,I10,1000.0
293,G14,J9,1000.0
295,G15,J10,1000.0
296,I5,K9,7.5
297,G15,K9,992.5
298,I5,K10,7.5
299,G15,K10,992.5
300,I5,L9,32.5
301,G15,L9,967.5
302,I5,L10,32.5
303,G15,L10,967.5
304,I5,M9,107.5
305,G15,M9,892.5
306,I5,M10,107.5
307,G15,M10,892.5
308,I5,N9,260.0
309,G15,N9,740.0
310,I5,N10,260.0
311,G15,N10,740.0
312,I5,O9,540.0
313,G15,O9,460.0
314,I5,O10,540.0
315,G15,O10,460.0
316,I5,P9,1000.0
318,I5,P10,1000.0
321,G15,A11,1500.0
