,SrcID,DestID,Volume
138,L3,C6,10.0
139,J8,C6,1490.0
140,L3,D5,50.0
141,J8,D5,1450.0
142,L3,D6,50.0
143,J8,D6,1450.0
144,L3,E5,160.0
145,J8,E5,1340.0
146,L3,E6,160.0
147,J8,E6,1340.0
148,L3,F5,390.0
149,J8,F5,1110.0
150,L3,F6,390.0
151,J9,F6,1110.0
152,L3,G5,810.0
153,J9,G5,690.0
154,L3,G6,810.0
155,J9,G6,690.0
156,L3,H5,1500.0
158,L3,H6,1500.0
161,J9,I5,1500.0
163,J9,I6,1500.0
165,J9,J5,1500.0
167,J9,J6,1500.0
168,L3,K5,10.0
169,J9,K5,1490.0
170,L3,K6,10.0
171,J10,K6,1490.0
172,L3,L5,50.0
173,J10,L5,1450.0
174,L3,L6,50.0
175,J10,L6,1450.0
176,L3,M5,160.0
177,J10,M5,1340.0
178,L3,M6,160.0
179,J10,M6,1340.0
180,L3,N5,390.0
181,J10,N5,1110.0
182,L3,N6,390.0
183,J10,N6,1110.0
184,L3,O5,810.0
185,J10,O5,690.0
186,L3,O6,810.0
187,J11,O6,690.0
188,L4,P5,1500.0
190,L4,P6,1500.0
193,J11,A7,1000.0
195,J11,A8,1000.0
197,J11,B7,1000.0
199,J11,B8,1000.0
200,L4,C7,7.5
201,J11,C7,992.5
202,L4,C8,7.5
203,J11,C8,992.5
204,L4,D7,32.5
205,J11,D7,967.5
206,L4,D8,32.5
207,J11,D8,967.5
208,L4,E7,107.5
209,J11,E7,892.5
210,L4,E8,107.5
211,J12,E8,892.5
212,L4,F7,260.0
213,J12,F7,740.0
214,L4,F8,260.0
215,J12,F8,740.0
216,L4,G7,540.0
217,J12,G7,460.0
218,L4,G8,540.0
219,J12,G8,460.0
220,L4,H7,1000.0
222,L4,H8,1000.0
225,J12,I7,1000.0
227,J12,I8,1000.0
229,J12,J7,1000.0
231,J12,J8,1000.0
232,L4,K7,7.5
233,J12,K7,992.5
234,L4,K8,7.5
235,J12,K8,992.5
236,L4,L7,32.5
237,J12,L7,967.5
238,L4,L8,32.5
239,J13,L8,967.5
240,L4,M7,107.5
241,J13,M7,892.5
242,L4,M8,107.5
243,J13,M8,892.5
244,L4,N7,260.0
245,J13,N7,740.0
246,L4,N8,260.0
247,J13,N8,740.0
248,L4,O7,540.0
249,J13,O7,460.0
250,L4,O8,540.0
251,J13,O8,460.0
252,L4,P7,1000.0
