baselien,,bm3WTHeme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
531.9356689,-0.0005407317658,531.9356689,0.04297220707,
531.0319214,-0.001016335445,531.0319214,0.04239930212,
529.977356,-0.0008556714165,529.977356,0.04217879847,
529.0732422,-0.0003007425694,529.0732422,0.04298486561,
528.0181885,-0.0008419269579,528.0181885,0.04154953733,
526.9628906,-0.0007074564928,526.9628906,0.0431940034,
526.0581665,-0.001355807646,526.0581665,0.04050872475,
525.0023804,-0.0009310514433,525.0023804,0.04023956135,
523.9464111,0.0001259535056,523.9464111,0.04082338512,
523.0410767,9.237095946E-5,523.0410767,0.04074473307,
521.9846191,-0.0001419872133,521.9846191,0.04009029269,
520.9279175,-0.000234825784,520.9279175,0.03955794871,
520.0219727,-0.0007900971686,520.0219727,0.03901263699,
518.9647827,-0.0003814951051,518.9647827,0.03886792436,
518.0584717,-0.0002409315202,518.0584717,0.03906004876,
517.0008545,-0.0007988823345,517.0008545,0.03777107224,
515.9429932,-0.0006064470508,515.9429932,0.03727086633,
515.0360718,-0.000387650507,515.0360718,0.03725197166,
513.9777222,-0.0003859952849,513.9777222,0.036701601,
513.0704346,-0.0001001153869,513.0704346,0.03748666495,
512.0116577,-0.0007905106177,512.0116577,0.0366467312,
510.9526672,-8.789985441E-5,510.9526672,0.03625293821,
