2019-12-21 17:39:24.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:53.028	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:24.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:53.073	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:25.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:54.185	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:25.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:54.223	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:27.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:55.365	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:27.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:55.403	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:28.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:56.528	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:28.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:56.568	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:29.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:57.701	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:29.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:57.750	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:30.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:58.884	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:30.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:58.931	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:31.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:00.042	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:31.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:00.078	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:32.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:01.212	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:33.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:01.259	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:33.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.036	ClassifyPlateHelper.cpp(776)	INFO	Customer plate [384PP_DMSO2] was classified as [384PPL_DMSO2]."
2019-12-21 17:39:33.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.078	SOAPFluidTransferProxy.cpp(916)	INFO	RetractSrcPlateGripper() END"
2019-12-21 17:39:33.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.195	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:33.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.233	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:34.1,,Debug,OnEndRetractSourcePlateGripper,Event,,192.168.0.25,,
2019-12-21 17:39:34.1,,Info,OnInfoEvent,Event,,192.168.0.25,,"Survey is needed!"
2019-12-21 17:39:34.1,,Debug,OnSurveyStart,Event,,192.168.0.25,,"Survey Plate: 1"
2019-12-21 17:39:34.1,,Debug,SurveyStarted,RequestDestPlate,,192.168.0.25,Destination[1],"Queued plate to load in Echo."
2019-12-21 17:39:34.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.362	SOAPFluidTransferProxy.cpp(179)	INFO	PlateSurvey() START"
2019-12-21 17:39:34.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.373	FluidTransferServer.cpp(2963)	INFO	PlateType = 384PPL_DMSO2"
2019-12-21 17:39:34.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.373	FluidTransferServer.cpp(2964)	INFO	Source Region: C2:D10"
2019-12-21 17:39:34.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.375	SOAPFluidTransferProxy.cpp(179)	INFO	RetrieveParameter() START"
2019-12-21 17:39:34.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.379	SOAPFluidTransferProxy.cpp(916)	INFO	RetrieveParameter() END"
2019-12-21 17:39:34.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.390	Gage.cpp(333)	INFO	--> [LAB11eX] : Dynamic range update not needed"
2019-12-21 17:39:34.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.392	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:34.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.440	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:34.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.492	SOAPFluidTransferProxy.cpp(179)	INFO	RetrieveParameter() START"
2019-12-21 17:39:34.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.494	SOAPFluidTransferProxy.cpp(916)	INFO	RetrieveParameter() END"
2019-12-21 17:39:34.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.601	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:34.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.648	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:34.5,,Debug,OnStartExtendDestinationPlateGripper,Event,,192.168.0.25,,
2019-12-21 17:39:34.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:02.771	SOAPFluidTransferProxy.cpp(179)	INFO	PresentDstPlateGripper() START"
2019-12-21 17:39:35.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:03.568	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:35.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:03.606	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:36.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:04.724	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:36.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:04.771	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:37.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:05.715	Gage.cpp(333)	INFO	--> [LAB11eX] : Dynamic range update not needed"
2019-12-21 17:39:37.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:05.883	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:38.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.055	PlateSurveyBootstrapService.cpp(584)	INFO	Transducer Z position: 4401.98, 2 adjustment(s)"
2019-12-21 17:39:38.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:39:07.056	PlateSurveyBootstrapService.cpp(585)	INFO	Final PlateSurvey Bootstrap ToF to bottom is 31.804903 us"
