BLANK,,Workingstovck,,Workingstovck1,,Workingstovck2,,Workingstovck3,,NewWorkingstock,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
737.9616699,-0.0004908310948,737.9616699,0.01944868639,737.9616699,0.03703036904,737.9616699,0.01680587232,737.9616699,0.004741383251,737.9616699,0.0283256229,
736.9675293,0.0005831880844,736.9675293,0.02058376372,736.9675293,0.03779355064,736.9675293,0.01794052683,736.9675293,0.005102392752,736.9675293,0.02911544219,
735.9730225,-0.0009149329271,735.9730225,0.01952018961,735.9730225,0.03732006252,735.9730225,0.01710432209,735.9730225,0.006243604701,735.9730225,0.02919810638,
734.9782104,0.0006956209545,734.9782104,0.02182284184,734.9782104,0.03843316808,734.9782104,0.01708052121,734.9782104,0.006875426508,734.9782104,0.03048153594,
733.9830322,-0.0006024144241,733.9830322,0.02096245624,733.9830322,0.03890741989,733.9830322,0.01710677333,733.9830322,0.006501693744,733.9830322,0.0302413255,
732.9874878,-0.0007328343927,732.9874878,0.01922077686,732.9874878,0.03715775162,732.9874878,0.01633919962,732.9874878,0.005740398075,732.9874878,0.03016220964,
731.9915771,-5.171708472E-5,731.9915771,0.02044465393,731.9915771,0.03820332885,731.9915771,0.0170039814,731.9915771,0.006703885272,731.9915771,0.03139771149,
730.9953613,0.0008046077564,730.9953613,0.02121528238,730.9953613,0.03754420951,730.9953613,0.01723326184,730.9953613,0.006528864615,730.9953613,0.02983859926,
729.9987793,-0.0001295658294,729.9987793,0.02097484469,729.9987793,0.03935036063,729.9987793,0.01853022724,729.9987793,0.007506061811,729.9987793,0.03041728586,
729.0018921,-0.001370464801,729.0018921,0.02041355893,729.0018921,0.03600045666,729.0018921,0.01684887148,729.0018921,0.005435681436,729.0018921,0.03020580299,
728.0046387,0.0004973211326,728.0046387,0.02183315903,728.0046387,0.03819278628,728.0046387,0.01811605319,728.0046387,0.006740664598,728.0046387,0.03068356961,
727.007019,-0.00114936789,727.007019,0.02061733976,727.007019,0.03828711808,727.007019,0.01778923534,727.007019,0.006615222897,727.007019,0.03073179908,
726.0090942,0.0001053168889,726.0090942,0.02139102295,726.0090942,0.03857801855,726.0090942,0.0185623765,726.0090942,0.006627286784,726.0090942,0.03059617803,
