experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,k,concentrations,controls_ok,centrifuge_minutes,centrifuge_rpm,dispense_bulk,dispense_ligands,protein_days_thawed,well_volume
15,SDS,0.8852088449362346,0.007789014621255919,0.20814992757322592,1.45,0.021,2.383937499999997,0.9933117224137045,0.004035556254807295,0.0014500504039546974,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,SDS,9.10359752278319,0.01443237170462126,-10.093766019990207,1.45,0.024999999999999994,1.9281874999999937,1.367640023217045,0.007573449864965294,-0.0026036290303019464,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,5.787455908007084e-07,0.002142842489494521,0.584415581545727,1.45,0.025,2.661749999999991,0.7596218987736166,0.0038078865529319553,0.0014378528228229754,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,1.7784513593201094,0.002670411434222377,-0.1747999054571887,1.45,0.021,0.5508749999999976,5.526725493980317,0.009591663046625442,-0.00481204637345665,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,2.5572906090949306e-08,0.0009999990725160742,0.06796116501951954,1.45,0.024999999999999994,1.0384374999999946,3.054156091961584,0.00660627407415535,-0.0026170866924773144,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,1.4396050230817905,0.0035564902868059863,-0.07366625786230929,1.45,0.029000000000000005,1.3622499999999995,2.199964277639802,0.011209052464096023,-0.01025131049289624,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,3.0317185384943057,0.04858636703376194,-1.354425020693892,17.45,0.41300000000000003,69.53343749999992,0.25075168616036153,0.051193610092331955,0.01877817540340459,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,8.426271317406924e-17,0.021571428572776268,0.509667612937835,17.45,0.33299999999999996,51.27674999999998,0.15781086109509476,0.020769139193937303,-0.030408014114332894,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,1.5202243295834361,0.027838060829774098,-0.12071570094313588,17.45,0.44900000000000007,62.988249999999994,0.3371156913471155,0.059766061798123715,0.011237046370239097,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,0.0449764200578283,0.0893070564992861,0.9875818151557859,17.45,0.64,74.66868750000002,0.6082925145432836,0.13070242920466318,-0.17965493951703027,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
