blank,,workingstock,,workingstock1,,workingstock2,,workingstock_1in5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
690.0028687,0.0004655238008,690.0028687,0.1384187043,690.0028687,0.03481073305,690.0028687,0.1344851255,690.0028687,0.02547317371,
688.9926147,-1.827510823E-5,688.9926147,0.1386053264,688.9926147,0.03522685915,688.9926147,0.1342672408,688.9926147,0.0259548258,
687.9819946,-0.0009957263246,687.9819946,0.137914747,687.9819946,0.03439649194,687.9819946,0.1347900629,687.9819946,0.02525387891,
686.9711304,0.00025632084,686.9711304,0.1401128471,686.9711304,0.03533706069,686.9711304,0.1356971264,686.9711304,0.02573660575,
685.9598389,-0.0002002076944,685.9598389,0.139090687,685.9598389,0.03537452221,685.9598389,0.1366503984,685.9598389,0.02619935758,
684.9483032,0.0006367954775,684.9483032,0.1416206956,684.9483032,0.03537786379,684.9483032,0.1364580393,684.9483032,0.0260803178,
683.9364624,0.0001914171444,683.9364624,0.1413769722,683.9364624,0.03528949618,683.9364624,0.1374313533,683.9364624,0.02646015026,
683.0688477,0.00114476122,683.0688477,0.1418122649,683.0688477,0.03579332307,683.0688477,0.1374301016,683.0688477,0.02617486008,
682.0563965,-0.0005820440711,682.0563965,0.1426017731,682.0563965,0.03471440449,682.0563965,0.1371098161,682.0563965,0.02731157839,
681.0435791,-2.681703518E-5,681.0435791,0.1421373934,681.0435791,0.03418547288,681.0435791,0.1379027665,681.0435791,0.02603051253,
680.0304565,-0.0002072971256,680.0304565,0.1424384862,680.0304565,0.03499944136,680.0304565,0.1375513971,680.0304565,0.02618063428,
679.0170288,1.359034559E-5,679.0170288,0.142583251,679.0170288,0.03525591642,679.0170288,0.1397662163,679.0170288,0.02645335533,
678.0032349,0.0009836149402,678.0032349,0.1446826607,678.0032349,0.03570672497,678.0032349,0.1398644,678.0032349,0.02746153623,
676.9891357,-0.0006333300262,676.9891357,0.1446312666,676.9891357,0.03556313738,676.9891357,0.1400957555,676.9891357,0.02633218281,
675.9747314,0.0001964671537,675.9747314,0.1447311491,675.9747314,0.0358691439,675.9747314,0.1399204582,675.9747314,0.02705509588,
674.960022,-0.000145403028,674.960022,0.1449074298,674.960022,0.03546015173,674.960022,0.140700087,674.960022,0.0261185281,
673.9450073,2.81130724E-5,673.9450073,0.145395577,673.9450073,0.03515078872,673.9450073,0.141915828,673.9450073,0.02725939825,
672.9296265,-0.0004506479017,672.9296265,0.1454887837,672.9296265,0.03495943174,672.9296265,0.1422165483,672.9296265,0.02663879655,
672.059082,-0.0006081531174,672.059082,0.1472228914,672.059082,0.03516760096,672.059082,0.1430311203,672.059082,0.02680052631,
671.0431519,0.0001326858619,671.0431519,0.1477271765,671.0431519,0.0354190059,671.0431519,0.1429886967,671.0431519,0.02706994489,
670.0268555,-0.001300219446,670.0268555,0.1465402693,670.0268555,0.03442087024,670.0268555,0.1435417682,670.0268555,0.02646367252,
669.0103149,-0.001541720703,669.0103149,0.1475203633,669.0103149,0.03444379196,669.0103149,0.14362517,669.0103149,0.02588618547,
667.9934082,0.0002066709712,667.9934082,0.1502566934,667.9934082,0.03541164845,667.9934082,0.1455642432,667.9934082,0.0278593041,
666.9761963,0.0002994744573,666.9761963,0.1492160708,666.9761963,0.03613302112,666.9761963,0.1453546584,666.9761963,0.02670339867,
665.9586792,0.0001143015907,665.9586792,0.1508954912,665.9586792,0.03612663597,665.9586792,0.1468434185,665.9586792,0.02813595347,
664.9407959,0.0001747136557,664.9407959,0.1503972858,664.9407959,0.03530406579,664.9407959,0.1461562216,664.9407959,0.02728409506,
664.0681152,-0.0002235454449,664.0681152,0.1514347345,664.0681152,0.03486817703,664.0681152,0.1469860971,664.0681152,0.02786242217,
663.0497437,-8.199900913E-5,663.0497437,0.1514743268,663.0497437,0.03499809653,663.0497437,0.1473398954,663.0497437,0.02795702219,
662.0310059,0.0001224837906,662.0310059,0.1524819881,662.0310059,0.03578877077,662.0310059,0.1482760757,662.0310059,0.02826409414,
661.0119629,6.187186955E-5,661.0119629,0.153229624,661.0119629,0.03496484831,661.0119629,0.1486916393,661.0119629,0.0278180968,
659.9925537,0.0001445972011,659.9925537,0.1535765976,659.9925537,0.03588969633,659.9925537,0.149382174,659.9925537,0.02860854194,
658.9729004,-2.32967468E-5,658.9729004,0.1545648426,658.9729004,0.03501125425,658.9729004,0.1507100612,658.9729004,0.02817354351,
657.9529419,-0.001251386828,657.9529419,0.1544074565,657.9529419,0.03474152088,657.9529419,0.150076732,657.9529419,0.02738667466,
656.9326172,6.857734115E-5,656.9326172,0.1552176625,656.9326172,0.03527820855,656.9326172,0.1516224295,656.9326172,0.02848027088,
656.0578613,-0.0002420181263,656.0578613,0.1565850377,656.0578613,0.03499293327,656.0578613,0.1523834765,656.0578613,0.02851883136,
655.0369873,-0.0007035281742,655.0369873,0.1557603478,655.0369873,0.03538339585,655.0369873,0.1523887068,655.0369873,0.02819042094,
654.0158081,6.005959949E-5,654.0158081,0.1566841006,654.0158081,0.0355642885,654.0158081,0.1532569677,654.0158081,0.02892971598,
652.9943237,-0.0002330147399,652.9943237,0.1570933759,652.9943237,0.03470209613,652.9943237,0.1530923545,652.9943237,0.02901450172,
651.9725342,0.0003200425708,651.9725342,0.1587167382,651.9725342,0.03601730242,651.9725342,0.1548317522,651.9725342,0.02972917445,
650.9504395,-0.0005601216108,650.9504395,0.1578049213,650.9504395,0.03435751796,650.9504395,0.154406935,650.9504395,0.02893757448,
649.9280396,-0.0002122130827,649.9280396,0.1592228711,649.9280396,0.0349439159,649.9280396,0.1558996439,649.9280396,0.02914284728,
649.0514526,0.0004439641198,649.0514526,0.1599965096,649.0514526,0.03632697836,649.0514526,0.1560940295,649.0514526,0.02929795347,
648.0284424,0.001252458896,648.0284424,0.1618199199,648.0284424,0.03598577902,648.0284424,0.1564615071,648.0284424,0.02931238152,
647.005188,-0.0007269939524,647.005188,0.1608476937,647.005188,0.03569922224,647.005188,0.1566319317,647.005188,0.02985878475,
645.9815674,4.672668729E-5,645.9815674,0.160508588,645.9815674,0.03541276976,645.9815674,0.1575542241,645.9815674,0.0294900164,
644.9577026,0.0008256406873,644.9577026,0.161297515,644.9577026,0.03593279794,644.9577026,0.1581213623,644.9577026,0.02964640968,
643.9334717,-0.0006240762887,643.9334717,0.1619474292,643.9334717,0.03535315022,643.9334717,0.1577014476,643.9334717,0.02914957516,
643.0553589,0.0005680246977,643.0553589,0.1631700099,643.0553589,0.03511668742,643.0553589,0.1579804122,643.0553589,0.02965026163,
642.0306396,-0.0009468077915,642.0306396,0.1631085873,642.0306396,0.03560272604,642.0306396,0.1593164057,642.0306396,0.03061198257,
641.0055542,-0.0004105644184,641.0055542,0.1634762436,641.0055542,0.0356487222,641.0055542,0.1595535725,641.0055542,0.02987012453,
639.9801636,-6.590067642E-5,639.9801636,0.1650134176,639.9801636,0.03594410419,639.9801636,0.1591807306,639.9801636,0.03113343753,
638.9545288,-0.0001489740825,638.9545288,0.1645057201,638.9545288,0.03573095426,638.9545288,0.1597938687,638.9545288,0.02990428917,
637.9285278,0.0006061544991,637.9285278,0.1661455333,637.9285278,0.03554875404,637.9285278,0.1603628099,637.9285278,0.02990883589,
637.0488892,-0.0003843400627,637.0488892,0.1649392694,637.0488892,0.03519757837,637.0488892,0.1605614871,637.0488892,0.02956352197,
