kpi,,bm3_target5uM,,bm3_target10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
610.9351196,0.0004996017087,610.9351196,0.01680681296,610.9351196,0.02103850059,
610.0492554,-0.0004738687712,610.0492554,0.01642809622,610.0492554,0.02074238472,
609.0155029,1.069103655E-5,609.0155029,0.0171382241,609.0155029,0.0206165798,
607.9815063,-0.0001769204391,607.9815063,0.01640040614,607.9815063,0.02089049853,
606.9471436,0.0003340833355,606.9471436,0.017237572,606.9471436,0.02202644013,
606.0603638,1.019919091E-5,606.0603638,0.01725149713,606.0603638,0.02260227688,
605.0255127,0.0006719757221,605.0255127,0.01814422943,605.0255127,0.02309088223,
603.9904175,0.0007282648585,603.9904175,0.01827004924,603.9904175,0.02356601693,
602.9550171,0.0002662411134,602.9550171,0.01881159283,602.9550171,0.02451768517,
602.0672607,0.0004905571695,602.0672607,0.01917229407,602.0672607,0.02461931296,
601.031311,-0.0002870840253,601.031311,0.0191378817,601.031311,0.02502268367,
599.9951172,-0.0002628701041,599.9951172,0.01808922738,599.9951172,0.02504250966,
598.9585571,0.0006289146841,598.9585571,0.01998720318,598.9585571,0.02683767118,
598.0699463,0.0004790769017,598.0699463,0.02022430301,598.0699463,0.02788903005,
597.0328979,0.000305328751,597.0328979,0.02034356445,597.0328979,0.02784892544,
595.9955444,0.0001279214048,595.9955444,0.02113869041,595.9955444,0.02910110354,
594.9579468,0.0002502340649,594.9579468,0.02179777436,594.9579468,0.03001212142,
594.0683594,0.0001761120657,594.0683594,0.02303011715,594.0683594,0.0317941159,
593.0302734,2.746588143E-5,593.0302734,0.02256243862,593.0302734,0.03278600425,
591.9918823,-0.000843115442,591.9918823,0.02240317874,591.9918823,0.03277179599,
590.953186,-0.000331938325,590.953186,0.0241771508,590.953186,0.03443574905,
590.0626831,0.0002707739768,590.0626831,0.02546120621,590.0626831,0.03705937788,
589.0234985,-0.0001095873595,589.0234985,0.02632041089,589.0234985,0.03831584379,
587.9840088,0.0006115203723,587.9840088,0.02787026204,587.9840088,0.04021720961,
586.9442749,0.0003290317254,586.9442749,0.02803667635,586.9442749,0.04243252426,
586.0527954,-0.0006027246127,586.0527954,0.02839921042,586.0527954,0.0431198962,
585.0125732,0.0004722873273,585.0125732,0.03047170676,585.0125732,0.04684543982,
583.9719849,0.0003354822693,583.9719849,0.03262172267,583.9719849,0.04941707477,
